Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas,Tipo:
v_jEGtEgBDw,All-in en turn y decisión clave Nuestra profesora se enfrenta a un shove en un spot delicado.,"Feb 4, 2026",104,31,short
7PljaSk_9Ks,Si no haces ESTO vs fishes en el poker NO vas a ganar DINERO,"Feb 3, 2026",3742,82,video
0vvaU9izUdY,Cómo pensar correctamente una mano de póker (y no auto-sabotearte),"Feb 3, 2026",3090,88,video
RK0nYfJ7FwU,"Spot común, decisión clave.¿Apostar grande en turn fue un error?.","Feb 3, 2026",133,27,short
kvWuF_Vhk-o,"BB vs MP Defensa de ciegas, XR en flop OOP.","Jan 28, 2026",44,582,short
ENnfbLsYMAE,Haz ESTO para GANAR en el poker online! Respondemos dudas del chat en Ninjapoker!,"Jan 26, 2026",3061,85,video
e0EPufCUwKo,"JUEGO VS FISHES   Analizando session de Rocke de Baires, especialista vs FISHES","Jan 26, 2026",4654,357,video
eIOxd5EN4lQ,Descubre a los 'Super Nits' en el Póker  ¡No les Pagues Nada!,"Jan 24, 2026",46,45,short
hzMW2z_Fofk,¡Domina el Póker! Analiza el rango de tus Rivales.,"Jan 23, 2026",128,38,short
PCFjjJ_qvQc,Identifica a cualquier rival en póker y explótalo con stats simples,"Jan 22, 2026",3028,107,video
E7JblGoD1ls,Cómo ganar más dinero jugando contra fishes (errores reales),"Jan 21, 2026",4176,61,video
33Mw5S_ySw8,Clase de INICIACIÓN en el POKER ONLINE! Nuestra profe YANI revisa manos de nl2!,"Jan 21, 2026",1791,79,video
l5LM2wiCfzs,Clase de INICIACIÓN al POKER ONLINE! Sesión live de nuestra profe Yani García en nl2,"Jan 17, 2026",2517,105,video
iRcEn5i54kY,Por qué pierdes dinero en póker aunque estés jugando bien. La VARIANZA,"Jan 16, 2026",2565,78,video
j51nge6UOe4,Esto es lo primero que tienes que hacer para ganar dinero en póker online.,"Jan 16, 2026",4048,61,video
fpECqCCQa-g,"Nuestra alumna estrella, YANI GARCÍA, debuta COMO PROFE!","Jan 12, 2026",3422,109,video
GUrGc48JB48,La forma más fácil de ganar dinero en póker: jugar así contra fishes.,"Jan 12, 2026",4159,58,video
Bbaws0RZ5fw,JUEGO VS FISHES! Cómo ganar dinero en póker contra FISHES !! (Estrategia probada) Revisión de manos!,"Jan 7, 2026",5260,302,video
_d74moZ2w-w,Estos errores siguen apareciendo incluso en jugadores ganadores!,"Jan 5, 2026",4380,72,video
R7Ra5dB92Xc,Analizamos manos reales y los errores que cuestan dinero en póker.,"Jan 3, 2026",2711,81,video
ahbDirkqD6M,Revisión navideña de manos marcadas de nuestros alumnos más avanzados.,"Dec 24, 2025",7981,73,video
_J-EjvWpX0w,Revisión de JUEGO VS FISHES intensiva con dos de nuestros jugadores estrella!,"Dec 23, 2025",5951,194,video
WhUnt7fH46g,"Si estás empezando en póker, evita estos errores desde el día 1","Dec 23, 2025",2613,74,video
8mzEd8_2Qvs,JUEGO VS FISHES. Revisión de manos marcadas vs recreacionales de nuestros alumnos más avanzados.,"Dec 22, 2025",5158,91,video
h5rp-O9cDbQ,El error más común que hace perder dinero a jugadores nuevos.,"Dec 21, 2025",1945,27,video
z-g1l1oAGSk,Sube tu Redline! Clase de minpots(-12bbs pots)con ejemplo de manos de alumnos.,"Dec 21, 2025",4909,61,video
mtSqqfnOze0,Sesi live Pere nl200...nos ayudará la gorra de la suerte?,"Dec 16, 2025",1851,28,video
5VuQPBkIC8U,Por qué pierdes dinero en póker ? Haz ESTO,"Dec 16, 2025",3850,24,video
GocTXtoUjp4,Qué cambia cuando empiezas a jugar mejor en póker online? Batalla de regs,"Dec 15, 2025",3572,22,video
-wleinYxPTI,El verdadero SECRETO del poker online,"Dec 14, 2025",2245,24,video
_-61s6PrGEs,Esto va a disparar tus ganancias en el poker online! Sacando valor máximo de tus manos!,"Dec 13, 2025",1844,30,video
7sAGMZyjrQY,Estos errores contra fishes siguen apareciendo y se comen tus ganancias!,"Dec 8, 2025",5639,34,video
ZbjfS3GwkLc,La forma más fácil de ganar dinero en póker: EXPLOTANDO FISHES IN LIVE,"Dec 7, 2025",2678,28,video
ngFpaF0Rb4M,Nl200 session vs FISHESSSSS,"Dec 2, 2025",2141,43,video
tvrlsCJPC40,"Revi de manos marcadas vs fishes del coach , debate entre alumnos","Nov 25, 2025",5877,90,video
fMblUh81YZk,Este error le cuesta dinero incluso a jugadores experimentados,"Nov 25, 2025",3376,24,video
bti9Nt3XJYQ,"Juego vs FISHES, manos marcadas de Adolfo,Arnau y Stiben","Nov 17, 2025",6317,56,video
fArfgK2lkvY,Sesi live Pere nl200...los recres al ataque!,"Nov 13, 2025",2415,33,video
JXjO_OYhC_0,Sesi live Pere nl200...foldearemos trío??,"Nov 9, 2025",2183,44,video
DnIV-O5KncI,Revi sesión yani 9 cajas down,"Nov 6, 2025",3388,52,video
r_eeDIZ7jVA,Sesi live Pere nl200...llegó la hora de pagar fantas?,"Nov 4, 2025",1907,48,video
ZEU2ujJXPpE,Revisión de manos vs fishes de la mejor jugadora de nuestra escuela,"Nov 2, 2025",3275,78,video
osl4_fYB9sA,"Clase vs recreacionales, coach de nl400 revisa manos marcadas de alumnos de nl50 (Yisus, Alejo,Yani)","Oct 31, 2025",4739,51,video
aDKPndfkyh0,"CLASE VS FISHES Manos marcadas Teto,Arnau","Oct 31, 2025",4727,57,video
CWFrIowxFT4,Mano marcada de alumno Ninja vs recreacional,"Oct 30, 2025",1382,52,video
